 ,B1: Job Name,C1: Project Type,Start,End,Jan-5,Jan-12,Jan-19,Jan-26,Feb-2,Feb-9,Feb-16,Feb-23,Mar-2,Mar-9,Mar-16,Mar-23,Mar-30,Apr-6,Apr-13,Apr-20,Apr-27,May-4,May-11,May-18,May-25,Jun-1,Jun-8,Jun-15,Jun-22,Jun-29,Jul-6,Jul-13,Jul-20,Jul-27,Aug-3,Aug-10,Aug-17,Aug-24,Aug-31,Sep-7,Sep-14,Sep-21,Sep-28,Oct-5,Oct-12,Oct-19,Oct-26,Nov-2,Nov-9,Nov-16,Nov-23,Nov-30,Dec-7,Dec-14,Dec-21,Dec-28
25-201,Lake Wylie HS,TURN KEY,3/23/2026,4/19/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-093,Rome Middle School,TRACK UPGRADES,1/5/2026,4/5/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-254,Lakewood High School,TRACK UPGRADES,3/23/2026,4/19/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-300,Mossy Creek MS,MILL / CLIP / PAVE,2/12/2026,3/11/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-177,Brewer High School,TRACK PAVING,4/21/2026,5/4/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-130,Evans High School Tennis ,Tennis Courts,4/9/2026,4/15/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-239,Mt Vernon School,TRACK UPGRADES,2/10/2026,3/2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-444,gw carver,MILL & CAP,2/13/2026,4/5/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-228,Woodruff HS Tennis,Tennis Courts,4/16/2026,4/22/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-333,wilsons mill,track paving,4/15/2026,4/21/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-242,Fort Mill Middle School / Flint Hill,PAVE ONLY,4/20/2026,4/26/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-290,University of Alabama Huntsville,TRACK PAVING,4/21/2026,6/1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-135,Veterans Middle School,TURN KEY,4/17/2026,5/28/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-165,Lovejoy High School,TRACK UPGRADES,4/21/2026,5/11/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-001,New South MS / HS ,paving,4/16/2026,4/22/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-160,North Central High School ,TRACK PAVING,5/18/2026,5/31/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-141,Camden County High School,TURN KEY,3/30/2026,5/10/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-161,Camden County Sportsplex ,TRACK UPGRADES,5/18/2026,5/31/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-301,Johnson Elementary School,TRACK PAVING,6/26/2026,7/9/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-262,Clayton County High School,SCOPE NOT SET,8/1/2026,8/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-140,Percy Julian High School,TRACK PAVING,8/1/2026,8/28/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-307,Plains High School,TRACK PAVING,3/1/2027,3/21/2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-215,Richmond Senior High School,MILL & CAP,8/1/2026,8/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-271,Hewitt Trussville,MILL & CAP,5/1/2026,5/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-306,Tift County Academy,TRACK UPGRADES,3/1/2027,3/21/2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-040,Chateua Elan,Road paving,3/16/2026,4/12/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-324,Porter ridge,Track Paving,7/1/2026,7/14/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-001,Scruggs Paving,SCRUGGS ,1/5/2026,2/1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-278,Lithia springs,Track Paving,6/1/2026,6/14/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-011,Pine lake prep,Track Paving,3/1/2027,3/21/2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-175,Butler ,soil stabilization,4/1/2026,4/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
